Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,,
2010-01-04 00:00:00+00:00,204.79498291015625,264.70001220703125,266.20001220703125,264.1000061035156,264.79998779296875,668858
2010-01-05 00:00:00+00:00,204.1373748779297,263.8500061035156,266.3999938964844,262.5,265.75,1392726
2010-01-06 00:00:00+00:00,205.2979278564453,265.3500061035156,266.0,262.6000061035156,264.75,1682107
2010-01-07 00:00:00+00:00,204.8723602294922,264.79998779296875,267.25,264.1499938964844,265.1000061035156,2723548
2010-01-08 00:00:00+00:00,205.76210021972656,265.95001220703125,267.0,264.1499938964844,265.1000061035156,4000986
2010-01-11 00:00:00+00:00,205.878173828125,266.1000061035156,268.3500061035156,265.6000061035156,266.6000061035156,2251471
2010-01-12 00:00:00+00:00,202.82208251953125,262.1499938964844,266.75,260.54998779296875,266.0,3826930
2010-01-13 00:00:00+00:00,203.09288024902344,262.5,263.75,260.75,262.0,1917571
2010-01-14 00:00:00+00:00,198.10263061523438,256.04998779296875,263.6000061035156,255.3000030517578,262.6000061035156,3583983
2010-01-15 00:00:00+00:00,198.37338256835938,256.3999938964844,258.75,255.89999389648438,257.75,4361271
2010-01-18 00:00:00+00:00,199.0696563720703,257.29998779296875,258.3500061035156,254.5500030517578,256.5,1088348
2010-01-19 00:00:00+00:00,197.6383819580078,255.4499969482422,257.75,254.60000610351562,257.75,1122943
2010-01-20 00:00:00+00:00,199.45654296875,257.79998779296875,258.6000061035156,253.5,256.0,2198874
2010-01-21 00:00:00+00:00,198.64418029785156,256.75,261.1000061035156,255.64999389648438,258.0,3093875
2010-01-22 00:00:00+00:00,199.57260131835938,257.95001220703125,259.1499938964844,251.9499969482422,253.0,5117085
2010-01-25 00:00:00+00:00,204.21475219726562,263.95001220703125,264.54998779296875,255.5,258.70001220703125,4355123
2010-01-27 00:00:00+00:00,200.65573120117188,259.3500061035156,263.0,254.6999969482422,263.0,9203979
2010-01-28 00:00:00+00:00,197.52232360839844,255.3000030517578,261.75,253.35000610351562,258.20001220703125,5049389
2010-01-29 00:00:00+00:00,187.46434020996094,242.3000030517578,252.1999969482422,241.0500030517578,251.5500030517578,6496604
2010-02-01 00:00:00+00:00,183.55726623535156,237.25,243.8000030517578,234.75,243.8000030517578,4987343
2010-02-02 00:00:00+00:00,182.97702026367188,236.5,240.0,235.0,238.5,6004275
2010-02-03 00:00:00+00:00,182.93829345703125,236.4499969482422,238.5,235.3000030517578,237.75,1595241
2010-02-04 00:00:00+00:00,178.76039123535156,231.0500030517578,239.35000610351562,230.5,237.10000610351562,3017883
2010-02-05 00:00:00+00:00,177.21302795410156,229.0500030517578,234.39999389648438,227.0,229.5,4345866
2010-02-08 00:00:00+00:00,182.97702026367188,236.5,238.1999969482422,229.75,231.0,3139856
2010-02-09 00:00:00+00:00,179.9596405029297,232.60000610351562,238.0,232.3000030517578,238.0,2435031
